,EpochLoss
0,0.16670891477002037
1,0.16655326220724317
2,0.16647488375504813
3,0.16641401251157126
4,0.16631572279665205
5,0.1661974141995112
6,0.1661077936490377
7,0.16602960560056898
8,0.16594297024938795
9,0.16579317881001365
10,0.1656084441476398
11,0.16527754730648464
12,0.16499218179119957
13,0.16451150675614676
14,0.16405978633297813
15,0.16362990770075056
16,0.1631824705335829
17,0.16288339098294577
18,0.16269555356767443
19,0.16255547437402937
20,0.16240248911910588
21,0.1621706551975674
22,0.16209298703405592
23,0.1620265477233463
24,0.16197731263107723
25,0.16195040113396114
26,0.16192121472623613
27,0.1618963364097807
28,0.16185860335826874
29,0.1618228339486652
30,0.16180441280206045
31,0.16179317898220485
32,0.1617770873838001
33,0.16176855067412058
34,0.16175719598929086
35,0.16175060802035862
36,0.16174166235658857
37,0.16173437072171104
38,0.16172826455699074
39,0.16171191301610735
40,0.16170529027779898
41,0.1616997884379493
42,0.16169392400317723
43,0.16168948345714146
44,0.16168554623921713
45,0.16168195505936941
46,0.1616782562600242
47,0.16167539523707497
48,0.1616731302605735
49,0.16167066825760734
